domain,concept,datasourcename,updtdttm,first_observed_date,total_observations,city,pedigree,confidence_score,datauploadid,segment,netspeed,referential,coordinates,govdatevett,most_recent_observation_time,total_capabilities,insrtdttm,geo_longitude,countryabbrv,commvett,active_boolean,first_observed_time,date,ipaddress,geo_latitude,commdatevett,offenderclass,network_asn,ipaddress_int,govvett,country,isp,uuid,piplelineid,most_recent_observation_date,network_class,threat_score,cog,blranking,model,network_type
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,PL,,,,,85.128.135.13,,,,,,,,,,,2004-11-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.244.176,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.189.211,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,104.166.72.18,,,,,,,,,,,2014-08-12,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.95.45.219,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,MX,,,,,201.175.20.195,,,,,,,,,,,2007-05-15,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,72.10.48.48,,,,,,,,,,,2004-10-19,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.116.112.159,,,,,,,,,,,2011-09-07,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,159.100.184.131,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,MX,,,,,201.175.20.195,,,,,,,,,,,2007-05-15,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.236.44.34,,,,,,,,,,,2010-03-23,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,182.160.154.164,,,,,,,,,,,2010-03-31,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.35.52.138,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.218.132,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.61,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.104.150,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,TH,,,,,22.154.18.92,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.118.4,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,09.228.4.170,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PL,,,,,46.41.144.115,,,,,,,,,,,2010-07-26,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.125,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,BG,,,,,109.73.236.38,,,,,,,,,,,2009-10-16,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.254.28.137,,,,,,,,,,,2010-10-05,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,62.149.128.160,,,,,,,,,,,2000-01-01,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,62.149.128.74,,,,,,,,,,,2000-01-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.73.180.180,,,,,,,,,,,2003-11-05,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.254.28.130,,,,,,,,,,,2010-10-05,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.154.248.137,,,,,,,,,,,2012-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,46.4.1.66,,,,,,,,,,,2010-08-19,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.221.42,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,TH,,,,,119.59.120.55,,,,,,,,,,,2011-02-04,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.12.107,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,104.152.68.156,,,,,,,,,,,2014-07-11,,,,,,
,,,,,,,,,,,,,,,,,,,AT,,,,,81.19.145.40,,,,,,,,,,,2005-11-18,,,,,,
,,,,,,,,,,,,,,,,,,,CN,,,,,114.215.87.11,,,,,,,,,,,2008-07-04,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.59.243.120,,,,,,,,,,,2010-12-09,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.167.165.141,,,,,,,,,,,2011-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.124,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.228.244.2,,,,,,,,,,,2007-11-07,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.63.202.49,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,LT,,,,,31.220.16.156,,,,,,,,,,,2011-05-10,,,,,,
,,,,,,,,,,,,,,,,,,,TR,,,,,185.51.164.62,,,,,,,,,,,2014-03-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.185.178,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,65.39.182.150,,,,,,,,,,,2002-06-21,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,187.45.182.82,,,,,,,,,,,2009-08-06,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.152.212,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.136.58.242,,,,,,,,,,,2012-04-03,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,188.40.239.38,,,,,,,,,,,2009-04-23,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.34,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,174.121.164.66,,,,,,,,,,,2009-03-23,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.167.188.159,,,,,,,,,,,2011-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.57.149.32,,,,,,,,,,,2012-07-27,,,,,,
,,,,,,,,,,,,,,,,,,,SI,,,,,95.246.8.32,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,202.22.163.23,,,,,,,,,,,2000-12-28,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.163.217.123,,,,,,,,,,,2013-02-12,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.42,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,143.95.82.235,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,144.76.191.135,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,IL,,,,,2.219.67.25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,23.229.183.169,,,,,,,,,,,2013-09-17,,,,,,
,,,,,,,,,,,,,,,,,,,RU,,,,,89.111.177.28,,,,,,,,,,,2006-04-26,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.150.48,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.172.201.217,,,,,,,,,,,2009-03-17,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,160.153.161.229,,,,,,,,,,,2011-09-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,23.229.192.9,,,,,,,,,,,2013-09-17,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.179.102,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.152.244,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,EU,,,,,83.125.22.169,,,,,,,,,,,2004-10-06,,,,,,
,,,,,,,,,,,,,,,,,,,LT,,,,,31.220.16.17,,,,,,,,,,,2011-05-10,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.12.107,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.38.89.241,,,,,,,,,,,2012-04-20,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.167.180.142,,,,,,,,,,,2011-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,UA,,,,,77.123.131.99,,,,,,,,,,,2006-11-24,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,NL,,,,,5.10.68.188,,,,,,,,,,,2012-04-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,166.62.28.103,,,,,,,,,,,2012-11-14,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.218.119,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.199.120.43,,,,,,,,,,,2010-09-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,FR,,,,,176.31.156.188,,,,,,,,,,,2011-05-20,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,185.55.79.109,,,,,,,,,,,2014-04-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.13.189,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.29,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,CZ,,,,,109.123.209.196,,,,,,,,,,,2009-10-20,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,46.16.188.7,,,,,,,,,,,2010-10-08,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.155.83.17,,,,,,,,,,,2013-12-30,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,88.150.141.57,,,,,,,,,,,2006-01-31,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.38.82.168,,,,,,,,,,,2012-04-20,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.158.172,,,,,,,,,,,2008-02-04,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,23.235.200.101,,,,,,,,,,,2013-10-16,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,185.116.213.18,,,,,,,,,,,2015-09-10,,,,,,
,,,,,,,,,,,,,,,,,,,VN,,,,,125.253.113.210,,,,,,,,,,,2010-12-29,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,78.46.194.22,,,,,,,,,,,2007-04-16,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,66.147.244.226,,,,,,,,,,,2008-05-05,,,,,,
,,,,,,,,,,,,,,,,,,,FR,,,,,46.105.174.39,,,,,,,,,,,2010-11-29,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,16.0.22.229,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.254.236.234,,,,,,,,,,,2013-06-11,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.174.180.88,,,,,,,,,,,2012-01-25,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,27.121.64.104,,,,,,,,,,,2010-09-06,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.91.41,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,RU,,,,,109.70.26.37,,,,,,,,,,,2009-10-26,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.52,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,LT,,,,,5.199.165.172,,,,,,,,,,,2012-08-28,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.51.96,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.15.69.186,,,,,,,,,,,2012-07-20,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.124,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.95.45.219,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,93.191.243.137,,,,,,,,,,,2008-06-16,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.73.25,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,HK,,,,,202.146.219.9,,,,,,,,,,,2007-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,RU,,,,,37.228.90.39,,,,,,,,,,,2012-04-10,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.124.249.2,,,,,,,,,,,2015-04-01,,,,,,
,,,,,,,,,,,,,,,,,,,PT,,,,,4.126.173.11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.19.218,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.103.8,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.214.95,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,27.121.64.126,,,,,,,,,,,2010-09-06,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,89.163.146.245,,,,,,,,,,,2006-02-17,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,78.31.109.228,,,,,,,,,,,2007-11-07,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,208.109.181.173,,,,,,,,,,,2006-04-12,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,HK,,,,,202.146.219.9,,,,,,,,,,,2007-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.1.121.252,,,,,,,,,,,2012-07-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.3.111,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,AR,,,,,86.153.178.52,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.150.110,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.121,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,FR,,,,,213.186.33.18,,,,,,,,,,,2001-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,66.206.43.190,,,,,,,,,,,2011-12-28,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.63.202.63,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.38.89.241,,,,,,,,,,,2012-04-20,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.63.202.48,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.179.252.34,,,,,,,,,,,2012-04-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.63.202.40,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.62.53.86,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,TR,,,,,93.184.150.19,,,,,,,,,,,2008-05-28,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.72,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,PL,,,,,85.128.210.10,,,,,,,,,,,2004-11-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.95.121,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.236.189.57,,,,,,,,,,,2010-03-30,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.37,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,FR,,,,,84.246.226.31,,,,,,,,,,,2004-10-25,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.116.91,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,ID,,,,,202.169.44.166,,,,,,,,,,,2000-09-25,,,,,,
,,,,,,,,,,,,,,,,,,,CA,,,,,167.114.158.222,,,,,,,,,,,2014-08-29,,,,,,
,,,,,,,,,,,,,,,,,,,VN,,,,,103.18.6.137,,,,,,,,,,,2013-03-07,,,,,,
,,,,,,,,,,,,,,,,,,,TR,,,,,93.184.150.18,,,,,,,,,,,2008-05-28,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.63.202.39,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,88.198.132.3,,,,,,,,,,,2005-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.201.231.29,,,,,,,,,,,2009-09-18,,,,,,
,,,,,,,,,,,,,,,,,,,HU,,,,,79.172.241.102,,,,,,,,,,,2007-10-25,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.194.230.43,,,,,,,,,,,2010-07-30,,,,,,
,,,,,,,,,,,,,,,,,,,DK,,,,,89.249.4.65,,,,,,,,,,,2006-07-17,,,,,,
